Titles,w,SD_F_AB_nCi_2_SS1_C_LGP[1;2;6]_a_MAS,MN_B_AB_nCi_2_SS4_T_KA_r-m_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_SS1_X_LGP[1;2;6]_v-e_MAS,V_F_AB_nCi_2_NS2_T_LGP[2-4]_v_MAS,N2_B_AB_nCi_2_MP6_T_LGP[4-6]_a-r_MAS,S_F_AB_nCi_2_NS4_C_LGP[2-4]_a_MAS,MN_B_AB_nCi_2_NS3_C_LGP[1]_c-p_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,E
A_229_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053678159,0.291348367,2.253378814,668.1243134,16.27986814,1547.254501,0.059845433,-1.230787314,-16.24599859,99.76866739,0.424351111,1.415732016,-17.29
A_230_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.056585496,0.122662144,2.043767869,673.1252151,20.16039308,726.580189,0.051442835,-1.59698415,-13.80638226,66.71132605,1.286323835,3.115396332,-12.76
A_231_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.060358825,0.298707225,1.900166479,196.5095514,18.80169903,868.0976167,0,0.938725414,0,42.95140941,0.408407371,2.064508483,-12.09
A_232_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.055012807,0.253817312,2.738548985,182.2730383,13.19226849,1243.19552,0.027966333,-0.473449458,0,42.28851885,0.366292802,1.368721926,-18.36
A_233_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.049173415,0.427879986,2.227183471,249.5051067,18.25460063,584.6021071,0.092591351,-0.977740523,-8.799953916,55.89900702,0.452484631,1.814041281,-23.59
A_235_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.055385994,0.363580617,2.173577138,308.3622087,18.25460063,572.3694808,0.03367014,-2.247183875,-9.643442524,54.59245498,0.586774795,1.7316311,-24.52
A_240_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.056662543,0.321887873,2.068914384,734.8184381,15.58622737,728.0627826,0.049523717,-0.780799501,-12.06621019,61.16685268,1.361149789,3.301346633,-13.97
A_242_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.051731082,0.347520687,2.208689863,673.2279333,13.31780592,1346.80735,0.058548576,-1.276890189,-16.28920614,95.1751428,0.427952413,1.490031711,-17.9
A_243_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.05078296,0.313299274,2.122355438,694.0980003,14.07653782,841.0323393,0.034241359,-0.526207046,-15.3328292,67.96163691,0.813740745,1.056781451,-14.68
A_245_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.079433734,0.137886985,2.186102413,399.7438453,19.59043269,84.11349524,0.000459559,-0.829359489,-8.902674304,70.12482287,0.418267849,1.956067475,-11.31
A_249_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.05200289,0.196097379,1.809087828,187.0853841,23.05635201,323.32736,0.067860426,-2.280555971,-7.969903428,47.83775867,0.506864667,1.553005149,-18.84
A_252_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.085772916,0.079602924,2.75763298,1252.984117,18.11711246,1229.103552,0.073152578,-0.463403355,-15.58615282,120.1731507,1.109903104,2.44328289,-12.02
A_254_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.041057848,0.271954816,1.84646805,79.01607582,16.36437028,271.0017143,0.00509989,-1.55452024,-9.282892278,35.76216103,0.514984178,2.706929469,-17.9
A_255_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.059661818,0.095360526,2.069864626,713.1070951,17.63442302,703.3431316,0.039456833,-0.08120655,-11.9524892,64.28713785,1.327468099,3.26797017,-12.76
A_256_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.063836725,0.079697636,2.253378814,605.8968029,18.75089316,822.4167381,0.027096354,-0.461072623,-22.59588521,86.69461205,0.904039157,1.113693826,-13.3
A_257_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.063107285,0.101169213,1.997846469,709.5522235,17.66334045,796.1213228,0.035675877,-0.640052473,-11.93535268,65.38371351,1.32224619,3.18319,-10.28
A_258_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.065374759,0.088771104,1.997846469,601.4563025,18.96964,961.2001231,0.022719099,-1.16291986,-22.53829304,88.70260523,0.899731039,0.834063849,-10.8
