Titles,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_NS1_A_LGP[1;2;6]_r-e_MAS,N3_B_AB_nCi_2_MP3_C_LGP[1]_v-c_MAS,P3_B_AB_nCi_2_SS2_C_LGP[1;2;6]_v-p_MAS,S_B_AB_nCi_2_NS7_C_LGP[1;2;6]_r-c_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,HM_F_AB_nCi_2_SS1_X_LGP[1;2;6]_r_MAS,SIC_TrF_AB_nCi_3_M21(M13)_NS0_T_KA_psa_MID,RA_Tr_AB_nCi_3_M27_SS0_A_KA_a-e-v_MID,w,E
A_248_00001,61.87662554025309,4.597268107967091,-0.0466232765910299,39.21505290147972,1.2305666529455244,0.1985372138176087,0.414560295925733,0.38625344285713,6.005759006213991,0.2570571036349516,2.97
A_250_00001,-73.67651131705178,6.4154318519339135,-0.1765628554389249,45.68819665790487,-1.4205276922092005,0.1590601428193929,0.3194001635692439,0.5529201095237967,18.614117974759942,0.224209824087499,-5.17
A_251_00001,-278.36943187943103,5.121173565644898,-0.1322239360598768,56.68267553705023,-2.3258870871692565,0.4431690905319467,0.3786439090577044,0.4000128986078657,18.492015413782703,0.2222300469536044,-8.6
A_259_00001,-168.8551407736279,5.5407967856594365,-0.1765275934299189,63.87757021884465,-2.3712547915606885,0.2334580108849137,0.4064121536318802,0.4326678928148465,20.121626881203703,0.2144096674012147,-10.69
A_26_00001,110.65280295950927,5.313362042045034,-0.0076239379228525,35.36094550604408,0.5708190566229945,0.2456910887492499,0.8614704369242033,0.1569388022684354,5.646740833388437,0.2405881508810939,-2.13
A_266_00001,-168.8177866293083,5.788572583940077,-0.1835769081773959,59.49224511956958,-2.219618452797431,0.1674674830379418,0.2910895338351446,0.5269848296616381,19.35289511147841,0.2189746656079032,-9.64
A_269_00001,-305.708508143828,5.641399761689228,-0.1443139803554448,63.38240936413278,-2.131114785500028,0.2429962634241508,0.2839873638941789,0.4470219361829995,17.964568331456775,0.2140807033279432,-10.3
A_27_00001,109.6911420612732,5.941328981285578,-0.0141458435159266,41.3771260579322,0.4722723920074299,0.1687940059975034,0.941103848068971,0.5731793710505211,4.898458565702476,0.2205721366254589,-7.93
A_270_00001,43.6987440007587,5.983804530727603,0.0056230168215903,29.012588760795488,1.7222135587888094,0.1151669356759014,0.7944825,0.2821057356505198,4.565921661250003,0.2562193905877478,2.9
A_272_00001,-296.56310540173934,5.641399761689228,-0.1471626183545664,62.37704554992612,-2.0893191946978784,0.2405424068913766,0.2839873638941789,0.4697356810490783,17.72809708523241,0.21950309430541,-9.8
